exp_name,agent_type,backend_model,root_cause_category,root_cause_name,net_env,scenario_topo_size,session_id,in_tokens,out_tokens,steps,tool_calls,tool_errors,time_taken,llm_judge_relevance_score,llm_judge_correctness_score,llm_judge_efficiency_score,llm_judge_clarity_score,llm_judge_final_outcome_score,llm_judge_overall_score,detection_score,localization_accuracy,localization_precision,localization_recall,localization_f1,rca_accuracy,rca_precision,rca_recall,rca_f1,experience_added_count,experience_pool_total_count
wo_mem_20260204151736_47633,react,gpt-oss-120b,misconfiguration,arp_acl_block,simple_bgp,-,0204151750,17395,1091,5,9,0,92.38,3,2,3,3,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,link_failure,link_detach,sdn_star,m,0204152010,6972,527,2,1,0,46.87,3,3,2,4,1,2,1.0,1.0,0.5,1.0,0.6667,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,misconfiguration,mac_address_conflict,ospf_enterprise_dhcp,m,0204152230,11361,427,2,1,0,66.33,2,2,1,3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,end_host_failure,host_incorrect_gateway,simple_bgp,-,0204152409,5198,537,2,1,0,50.01,2,2,1,3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,misconfiguration,icmp_acl_block,ospf_enterprise_dhcp,s,0204152628,7639,666,2,1,0,63.15,3,3,2,3,1,2,1.0,1.0,0.5,1.0,0.6667,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,misconfiguration,icmp_acl_block,dc_clos_service,m,0204152759,9652,415,2,1,0,54.07,2,2,1,3,1,1,1.0,1.0,0.2,1.0,0.3333,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,link_failure,link_fragmentation_disabled,dc_clos_service,s,0204152930,6079,595,2,1,0,64.77,2,2,1,2,1,1,1.0,1.0,0.3333,1.0,0.5,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,misconfiguration,arp_acl_block,dc_clos_service,m,0204153104,9644,549,2,1,0,55.24,2,2,1,3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,end_host_failure,host_incorrect_gateway,ospf_enterprise_dhcp,m,0204153340,11361,481,2,1,0,54.05,2,2,1,3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,link_failure,link_down,sdn_clos,m,0204153509,8795,759,2,1,0,74.93,2,2,2,3,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,misconfiguration,icmp_acl_block,sdn_clos,s,0204153657,5948,823,2,1,0,68.88,3,2,2,3,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,misconfiguration,mac_address_conflict,simple_bgp,-,0204153833,5198,454,2,1,0,43.9,2,2,1,3,1,1,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,network_under_attack,arp_cache_poisoning,simple_bgp,-,0204153941,20291,978,6,11,0,100.93,3,2,3,4,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,end_host_failure,host_ip_conflict,sdn_clos,m,0204154156,8785,473,2,1,0,70.72,2,2,3,3,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,misconfiguration,arp_acl_block,sdn_clos,m,0204154340,8756,533,2,1,0,63.84,2,2,1,3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,network_under_attack,arp_cache_poisoning,dc_clos_service,s,0204154512,6081,453,2,1,0,55.78,2,2,1,3,1,1,1.0,1.0,0.3333,1.0,0.5,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,misconfiguration,icmp_acl_block,sdn_clos,m,0204154639,8782,593,2,1,0,72.64,2,2,1,3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,network_under_attack,arp_cache_poisoning,dc_clos_service,m,0204154831,9644,646,2,1,0,66.0,2,2,1,3,1,1,1.0,1.0,0.1,1.0,0.1818,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,misconfiguration,arp_acl_block,dc_clos_service,s,0204155008,6081,527,2,1,0,60.36,2,2,1,3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,network_node_error,frr_service_down,ospf_enterprise_dhcp,s,0204155237,7541,733,2,1,0,70.99,2,2,2,3,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,resource_contention,load_balancer_overload,ospf_enterprise_dhcp,s,0204155527,9595,486,3,7,3,74.4,2,2,2,3,1,2,1.0,1.0,0.3333,1.0,0.5,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,resource_contention,sender_resource_contention,dc_clos_service,s,0204155802,8988,479,3,4,3,85.1,2,2,2,3,1,2,1.0,1.0,0.3333,1.0,0.5,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,misconfiguration,mac_address_conflict,ospf_enterprise_dhcp,s,0204160133,7632,668,2,1,0,56.52,2,2,2,3,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,link_failure,link_fragmentation_disabled,ospf_enterprise_dhcp,s,0204160402,7625,519,2,1,0,50.56,2,2,2,3,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,resource_contention,link_bandwidth_throttling,dc_clos_service,s,0204160522,6079,479,2,1,0,57.82,2,2,1,2,1,1,1.0,1.0,0.3333,1.0,0.5,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,misconfiguration,mac_address_conflict,sdn_star,m,0204160657,7123,581,2,1,0,42.58,2,3,2,3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,end_host_failure,host_incorrect_dns,dc_clos_service,s,0204160812,6081,403,2,1,0,53.51,2,2,1,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,link_failure,link_fragmentation_disabled,sdn_star,s,0204160936,6050,557,2,1,0,67.67,3,3,2,4,1,2,1.0,1.0,0.5,1.0,0.6667,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,end_host_failure,host_incorrect_ip,dc_clos_service,m,0204161114,9668,526,2,1,0,55.35,2,2,1,3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,misconfiguration,bgp_missing_route_advertisement,simple_bgp,-,0204161239,17395,994,5,9,0,90.54,3,2,3,4,2,3,1.0,1.0,0.5,1.0,0.6667,1.0,0.5,1.0,0.6667,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,resource_contention,sender_resource_contention,ospf_enterprise_dhcp,m,0204161544,26724,1086,5,21,2,102.0,2,2,2,3,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,end_host_failure,host_crash,ospf_enterprise_dhcp,m,0204161914,26656,1202,5,21,1,99.31,3,2,2,3,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,link_failure,link_detach,dc_clos_service,m,0204162132,9638,669,2,1,0,67.55,2,2,1,3,1,1,1.0,1.0,0.1,1.0,0.1818,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,misconfiguration,arp_acl_block,sdn_clos,s,0204162317,5948,812,2,1,0,56.65,3,2,2,3,1,2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,resource_contention,link_bandwidth_throttling,ospf_enterprise_dhcp,m,0204162552,11361,673,2,1,0,53.09,2,2,1,3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,end_host_failure,host_missing_ip,ospf_enterprise_dhcp,m,0204162857,11466,510,2,1,0,59.88,3,2,2,3,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,link_failure,dns_service_down,dc_clos_service,s,0204163028,6079,516,2,1,0,64.19,2,2,1,3,1,1,1.0,1.0,0.3333,1.0,0.5,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,network_node_error,frr_service_down,simple_bgp,-,0204163206,20743,1092,6,11,0,113.06,4,2,3,4,1,2,1.0,1.0,0.5,1.0,0.6667,1.0,1.0,1.0,1.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,misconfiguration,mac_address_conflict,dc_clos_service,m,0204163439,9644,539,2,1,0,56.8,2,2,1,3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,resource_contention,incast_traffic_network_limitation,ospf_enterprise_dhcp,s,0204163716,7625,683,2,1,0,107.01,2,2,2,3,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,resource_contention,sender_application_delay,ospf_enterprise_dhcp,s,0204164042,7548,882,2,1,0,67.05,2,2,2,3,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,end_host_failure,host_ip_conflict,sdn_star,s,0204164223,6063,767,2,1,0,93.45,5,5,4,4,3,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,network_node_error,southbound_port_block,sdn_star,s,0204164426,5998,509,2,1,0,45.63,2,2,2,3,1,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,misconfiguration,mac_address_conflict,sdn_clos,m,0204164548,8808,429,2,1,0,59.24,2,2,2,3,1,2,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,misconfiguration,host_static_blackhole,dc_clos_service,s,0204164722,6081,418,2,1,0,61.65,2,2,1,3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,end_host_failure,host_incorrect_gateway,dc_clos_service,s,0204164852,6079,510,2,1,0,39.34,2,2,1,3,1,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,misconfiguration,ospf_neighbor_missing,ospf_enterprise_dhcp,s,0204165113,7534,949,2,1,0,64.36,2,2,2,3,1,2,1.0,0.0,0.0,0.0,0.0,1.0,0.3333,1.0,0.5,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,link_failure,link_down,ospf_enterprise_dhcp,m,0204165405,11466,612,2,1,0,49.7,2,2,2,3,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,link_failure,link_detach,simple_bgp,-,0204165525,23677,1895,6,9,0,96.61,3,2,2,4,1,2,1.0,1.0,0.3333,1.0,0.5,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,link_failure,link_down,sdn_clos,s,0204165736,499,1651,1,0,0,41.02,2,3,1,4,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,network_node_error,southbound_port_block,sdn_clos,s,0204165850,499,2204,1,0,0,34.1,2,2,2,4,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,link_failure,link_detach,sdn_star,s,0204170001,6044,547,2,1,0,61.33,3,3,2,4,1,2,1.0,1.0,0.5,1.0,0.6667,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,link_failure,link_down,ospf_enterprise_dhcp,s,0204170245,7639,517,2,1,0,61.63,3,2,2,3,1,2,1.0,1.0,0.5,1.0,0.6667,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,end_host_failure,dns_record_error,dc_clos_service,s,0204170414,6082,559,2,1,0,50.7,2,2,1,3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,network_node_error,flow_rule_shadowing,sdn_clos,s,0204170540,499,2204,1,0,0,34.96,2,2,2,4,1,2,1.0,1.0,0.3333,1.0,0.5,1.0,0.5,1.0,0.6667,0,
wo_mem_20260204151736_47633,react,gpt-oss-120b,link_failure,dhcp_service_down,ospf_enterprise_dhcp,s,0204170749,7625,695,2,1,0,59.09,2,2,2,3,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
